DBN,SCHOOL NAME,Reading,Math,Writing
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,384,375,365
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,353,370,356
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,394,414,376
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,429,449,435
21K728,LIBERATION DIPLOMA PLUS,411,369,373
22K405,MIDWOOD HIGH SCHOOL,478,519,476
22K425,JAMES MADISON HIGH SCHOOL,436,475,439
22K495,SHEEPSHEAD BAY HIGH SCHOOL,383,392,370
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,524,561,542
22K555,BROOKLYN COLLEGE ACADEMY,456,456,440
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,389,409,387
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,361,371,359
23K643,BROOKLYN DEMOCRACY ACADEMY,349,338,331
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,311,371,311
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,350,346,332
23K697,TEACHERS PREPARATORY HIGH SCHOOL,392,416,388
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,405,454,421
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,406,413,400
24Q293,CIVIC LEADERSHIP ACADEMY,404,429,407
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,317,323,311
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,545,568,550
24Q455,NEWTOWN HIGH SCHOOL,383,440,380
24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,s,s,s
24Q485,GROVER CLEVELAND HIGH SCHOOL,395,420,396
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,399,393,385
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,326,409,329
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,391,403,380
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",443,447,440
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,417,447,406
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,445,496,423
24Q744,VOYAGES PREPARATORY,s,s,s
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",455,498,443
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,314,417,318
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,416,463,392
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,471,489,481
25Q425,JOHN BOWNE HIGH SCHOOL,397,451,395
25Q460,FLUSHING HIGH SCHOOL,393,441,382
25Q467,FLUSHING YABC,378,373,344
25Q525,TOWNSEND HARRIS HIGH SCHOOL,621,651,638
25Q540,QUEENS ACADEMY HIGH SCHOOL,398,382,388
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,431,458,441
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,379,421,377
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,480,545,489
26Q430,FRANCIS LEWIS HIGH SCHOOL,468,539,467
26Q435,MARTIN VAN BUREN HIGH SCHOOL,391,397,384
26Q495,BAYSIDE HIGH SCHOOL,462,523,464
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",425,434,420
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,387,385,373
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,432,419,401
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",391,401,364
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,423,426,416
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,367,379,348
27Q323,SCHOLARS' ACADEMY,499,537,496
27Q400,AUGUST MARTIN HIGH SCHOOL,377,371,360
27Q410,BEACH CHANNEL HIGH SCHOOL,384,396,354
27Q475,RICHMOND HILL HIGH SCHOOL,382,404,368
27Q480,JOHN ADAMS HIGH SCHOOL,391,409,392
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",429,491,425
28Q284,YORK EARLY COLLEGE ACADEMY,s,s,s
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,420,445,400
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,s,s,s
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,403,408,367
28Q350,JAMAICA GATEWAY TO THE SCIENCES,430,452,425
28Q440,FOREST HILLS HIGH SCHOOL,456,497,454
28Q470,JAMAICA HIGH SCHOOL,342,368,353
28Q505,HILLCREST HIGH SCHOOL,395,413,386
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,452,478,442
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,513,523,502
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,s,s,s
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,612,660,596
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,406,406,384
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",439,445,432
29Q248,QUEENS PREPARATORY ACADEMY,360,380,359
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,401,397,375
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,402,398,402
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,436,427,424
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,370,367,363
29Q326,CAMBRIA HEIGHTS ACADEMY,s,s,s
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",400,426,394
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",385,377,377
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",379,414,359
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,393,381,377
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",s,s,s
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,410,440,405
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,414,449,412
30Q450,LONG ISLAND CITY HIGH SCHOOL,403,420,395
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,504,496,494
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,407,434,398
30Q555,NEWCOMERS HIGH SCHOOL,323,475,329
30Q575,ACADEMY OF AMERICAN STUDIES,487,492,491
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,524,568,544
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,452,451,450
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,398,412,385
31R080,THE MICHAEL J. PETRIDES SCHOOL,472,488,466
31R440,NEW DORP HIGH SCHOOL,424,437,416
31R445,PORT RICHMOND HIGH SCHOOL,424,438,417
31R450,CURTIS HIGH SCHOOL,437,435,429
31R455,TOTTENVILLE HIGH SCHOOL,462,486,470
31R460,SUSAN E. WAGNER HIGH SCHOOL,455,474,459
31R470,CONCORD HIGH SCHOOL,466,455,414
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,416,422,397
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,635,682,636
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,405,375,370
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,380,366,352
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,384,409,361
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,348,353,334
32K552,ACADEMY OF URBAN PLANNING,342,364,354
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,428,465,422
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,347,358,350
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,359,317,358
75K371,P.S. 371 s LILLIAN L. RASHKIS,s,s,s
75M035,P.S. 035,s,s,s
75Q256,P.S. Q256,s,s,s
75Q811,P.S. Q811,429,444,433
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,s,s,s
75X012,P.S. X012 LEWIS AND CLARK SCHOOL,s,s,s
75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,s,s,s
79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,s,s,s
79Q950,GED PLUS s CITYWIDE,496,400,426
79X490,PHOENIX ACADEMY,367,370,360
