DBN,SCHOOL NAME,Reading,Math,Writing
02M519,TALENT UNLIMITED HIGH SCHOOL,469,472,475
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,407,440,393
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,414,425,400
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,429,404,420
02M542,MANHATTAN BRIDGES HIGH SCHOOL,336,378,344
02M543,NEW DESIGN HIGH SCHOOL,391,395,382
02M544,INDEPENDENCE HIGH SCHOOL,389,371,335
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,412,581,431
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,368,436,352
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,405,423,384
02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,498,440,477
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,527,508,512
02M570,SATELLITE ACADEMY HIGH SCHOOL,350,337,345
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,345,517,343
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,408,384,403
02M586,HARVEY MILK HIGH SCHOOL,458,416,429
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,423,423,411
02M605,HUMANITIES PREPARATORY ACADEMY,426,403,426
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,399,418,390
02M620,NORMAN THOMAS HIGH SCHOOL,370,379,359
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,395,382,376
02M630,ART AND DESIGN HIGH SCHOOL,444,441,430
02M655,LIFE SCIENCES SECONDARY SCHOOL,409,424,403
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,406,379,408
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",374,384,374
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",384,390,370
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,s,s,s
03M403,THE GLOBAL LEARNING COLLABORATIVE,s,s,s
03M404,INNOVATION DIPLOMA PLUS,416,403,381
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,371,368,370
03M417,FRANK MCCOURT HIGH SCHOOL,s,s,s
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,370,390,358
03M479,BEACON HIGH SCHOOL,577,575,592
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,566,564,577
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",396,398,402
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,433,433,411
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,401,369,351
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,473,506,467
03M577,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,s,s,s
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,356,379,361
