DBN,SCHOOL,SCHOOL LEVEL,ENVIRONMENT RATING
21K620,William E. Grady Career and Technical Education High School,High School,9.1
21K690,Brooklyn Studio Secondary School,Middle,5.4
21K690,Brooklyn Studio Secondary School,High School,5.2
21K728,Liberation Diploma Plus,Transfer High School,8.1
22K014,J.H.S. 014 Shell Bank,Middle,9.4
22K052,P.S. 052 Sheepshead Bay,Elementary,7.7
22K078,J.H.S. 078 Roy H. Mann,Middle,6.5
22K109,P.S. 109,K-8,5.8
22K119,P.S. 119 Amersfort,Elementary,12.5
22K134,P.S. K134,Elementary,9.2
22K139,P.S. 139 Alexine A. Fenty,Elementary,4.7
22K152,School of Science & Technology,Elementary,9.7
22K193,P.S. 193 Gil Hodges,Elementary,7.9
22K194,P.S. 194 Raoul Wallenberg,Elementary,6.8
22K195,P.S. 195 Manhattan Beach,Elementary,8.1
22K197,P.S. 197 Brooklyn,Elementary,9.1
22K198,P.S. 198 Brooklyn,Elementary,7
22K203,P.S. 203 Floyd Bennett,Elementary,5.9
22K206,P.S. 206 Joseph F Lamb,K-8,6.6
22K207,P.S. 207 Elizabeth G. Leary,K-8,7.7
22K217,P.S. 217 Colonel David Marcus School,Elementary,9.4
22K222,P.S. 222 Katherine R. Snyder,Elementary,9.9
22K234,J.H.S. 234 Arthur W. Cunningham,Middle,8
22K236,P.S. 236 Mill Basin,Elementary,6.3
22K240,Andries Hudde,Middle,3.5
22K245,P.S. 245,Elementary,12.7
22K251,P.S. 251 Paerdegat,Elementary,6.1
22K254,P.S. 254 Dag Hammarskjold,Elementary,7.9
22K255,P.S. 255 Barbara Reing School,Elementary,9.8
22K269,P.S. 269 Nostrand,Elementary,7.9
22K277,P.S. 277 Gerritsen Beach,Elementary,8.5
22K278,J.H.S. 278 Marine Park,Middle,9.3
22K312,P.S. 312 Bergen Beach,Elementary,9.3
22K315,P.S. K315,Elementary,7.8
22K361,P.S. 361 East Flatbush Early Childhood School,K-2,5.6
22K381,I. S. 381,Middle,5.8
22K405,Midwood High School,High School,6.4
22K425,James Madison High School,High School,9.9
22K495,Sheepshead Bay High School,High School,6.2
22K535,Leon M. Goldstein High School for the Sciences,High School,8.9
22K555,Brooklyn College Academy,Middle,12.4
22K555,Brooklyn College Academy,High School,12
23K041,P.S. 041 Francis White,K-8,5.5
23K073,P.S. 073 Thomas S. Boyland,K-8,5.2
23K137,P.S./I.S. 137 Rachel Jean Mitchell,K-8,7.1
23K150,P.S. 150 Christopher,K-8,5.6
23K155,P.S./ I.S. 155 Nicholas Herkimer,K-8,8.2
23K156,P.S. 156 Waverly,Elementary,7.2
23K165,P.S. 165 Ida Posner,K-8,5.4
23K178,P.S. 178 Saint Clair Mckelway,K-8,6
23K184,P.S. 184 Newport,K-8,3.6
23K284,P.S. 284 Lew Wallace,K-8,6.2
23K298,P.S. 298 Dr. Betty Shabazz,K-8,1.7
23K323,P.S./I.S. 323,K-8,10.5
23K327,P.S. 327 Dr. Rose B. English,K-8,4.6
23K332,P.S. 332 Charles H. Houston,K-8,
23K392,I.S. 392,Middle,7.3
23K493,Brooklyn Collegiate: A College Board School,Middle,6.5
23K493,Brooklyn Collegiate: A College Board School,High School,8.4
23K514,Frederick Douglass Academy VII High School,High School,8.3
23K518,Kappa V,Middle,6.9
23K522,Mott Hall IV,Middle,5.6
23K631,General D. Chappie James Elementary School of Scie,Elementary,3.5
23K634,General D. Chappie James Middle School of Science,Middle,6.8
23K643,Brooklyn Democracy Academy,Transfer High School,12.3
23K644,Eagle Academy for Young Men II,Middle,13.5
23K645,EBC/ENY High School for Public Safety & Law,High School,
23K646,Aspirations Diploma Plus High School,Transfer High School,4.6
23K647,Metropolitan Diploma Plus High School,Transfer High School,7.3
23K671,MOTT HALL BRIDGES MIDDLE SCHOOL,Middle,
23K697,Teachers Preparatory High School,Middle,6.4
23K697,Teachers Preparatory High School,High School,8.1
24Q005,I.S. 5 - The Walter Crowley Intermediate School,Middle,8.9
24Q007,P.S. 007 Louis F. Simeone,K-3,8.2
24Q012,P.S. 012 James B. Colgate,Elementary,12.1
24Q013,P.S. 013 Clement C. Moore,Elementary,8.1
24Q014,P.S. 014 Fairview,Elementary,11.5
24Q016,P.S. Q016,Elementary,12.7
24Q019,P.S. 019 Marino Jeantet,Elementary,11.4
24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Cente,K-2,14.7
24Q049,P.S. 049 Dorothy Bonawit Kole,K-8,6.7
24Q058,P.S. 58 - School of Heroes,Elementary,6.4
24Q061,I.S. 061 Leonardo Da Vinci,Middle,7.2
24Q068,P.S. 068 Cambridge,Elementary,8.6
24Q071,P.S. 071 Forest,Elementary,3.1
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,Middle,5.7
24Q077,I.S. 077,Middle,6.9
24Q081,P.S. 81Q Jean Paul Richter,Elementary,10.6
24Q087,P.S. 087 Middle Village,K-8,9.5
24Q088,P.S. 088 Seneca,Elementary,4
24Q089,P.S. 089 Elmhurst,Elementary,10.7
24Q091,P.S. 091 Richard Arkwright,Elementary,4.8
24Q093,I.S. 093 Ridgewood,Middle,6.3
24Q102,P.S. 102 Bayview,K-8,11.1
24Q113,P.S. 113 Isaac Chauncey,K-8,13
24Q119,I.S. 119 The Glendale,Middle,5.7
24Q125,I.S. 125 Thom J. McCann Woodside,Middle,9.8
24Q128,P.S. 128 Juniper Valley,K-8,12.7
24Q143,P.S. 143 Louis Armstrong,Elementary,9.2
24Q153,P.S. 153 Maspeth Elem,Elementary,6.7
24Q199,P.S. 199 Maurice A. Fitzgerald,Elementary,8.5
24Q229,P.S. 229 Emanuel Kaplan,Elementary,9.7
24Q239,P.S. 239,Elementary,8.2
24Q264,Academy of Finance and Enterprise,High School,10.4
24Q267,High School of Applied Communication,High School,11.6
24Q293,Civic Leadership Academy,High School,
24Q296,Pan American International High School,High School,11.1
24Q299,Bard High School Early College II,High School,11.2
24Q305,Learners and Leaders,K-3,9
24Q307,Pioneer Academy,K-3,10.7
24Q455,Newtown High School,High School,7.9
24Q457,HS Arts & Business Yabc,YABC,11
24Q485,Grover Cleveland High School,High School,8
24Q520,Middle College High School at LaGuardia Community College,High School,8.5
24Q530,International High School at LaGuardia Community College,High School,13.1
24Q550,High School for Arts and Business,High School,9.5
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",Middle,6.7
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",High School,6
24Q600,Queens Vocational and Technical High School,High School,9.1
24Q610,Aviation Career & Technical Education High School,High School,10.3
24Q744,VOYAGES Preparatory,Transfer High School,14.2
24Q877,The 51 Avenue Academy (The Path To Academic Excell,Elementary,11.4
25Q020,P.S. 020 John Bowne,Elementary,8
25Q021,P.S. 021 Edward Hart,Elementary,6.8
25Q022,P.S. 022 Thomas Jefferson,Elementary,5.9
25Q024,P.S. 024 Andrew Jackson,Elementary,10.6
25Q025,I.S. 025 Adrien Block,Middle,6.8
25Q029,P.S. 029 Queens,Elementary,7.8
25Q032,P.S. 032 State Street,Elementary,11.1
25Q079,P.S. 079 Francis Lewis,Elementary,4.5
25Q107,P.S. 107 Thomas A Dooley,Elementary,10.3
25Q120,P.S. 120 Queens,Elementary,4.2
25Q129,P.S. 129 Patricia Larkin,Elementary,10.5
25Q130,P.S. 130,K-3,8.6
25Q154,P.S. 154 Queens,Elementary,6.3
25Q163,P.S. 163 Flushing Heights,Elementary,6.6
25Q164,P.S. 164 Queens Valley,K-8,6.5
25Q165,P.S. 165 Edith K. Bergtraum,Elementary,2.8
25Q169,P.S. 169 Bay Terrace,Elementary,11.5
25Q184,P.S. 184 Flushing Manor,Elementary,10.3
25Q185,J.H.S. 185 Edward Bleeker,Middle,5.8
25Q189,J.H.S. 189 Daniel Carter Beard,Middle,11
25Q193,P.S. 193 Alfred J. Kennedy,Elementary,5.9
25Q194,J.H.S. 194 William Carr,Middle,1.7
25Q200,PS/MS 200 - The Pomonok School & STAR Academy,K-8,4.3
25Q201,P.S. 201 The Discovery School for Inquiry and Rese,Elementary,4
25Q209,P.S. 209 Clearview Gardens,Elementary,9.8
25Q214,P.S. 214 Cadwallader Colden,Elementary,10.7
25Q219,P.S. 219 Paul Klapper,K-8,6.5
25Q237,I.S. 237,Middle,6.4
25Q242,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,K-3,7.5
25Q244,The Active Learning Elementary School,K-3,
25Q250,I.S. 250 The Robert F. Kennedy Community Middle Sc,Middle,2.8
25Q252,"Queens School of Inquiry, The",Middle,9.5
25Q252,"Queens School of Inquiry, The",High School,
25Q263,Flushing International High School,High School,13.2
25Q281,East-West School of International Studies,Middle,3.7
25Q281,East-West School of International Studies,High School,3.6
25Q285,World Journalism Preparatory: A College Board Scho,Middle,9.7
25Q285,World Journalism Preparatory: A College Board School,High School,10.8
25Q294,BELL Academy,Middle,10.2
25Q425,John Bowne High School,High School,6.9
25Q460,Flushing High School,High School,6.3
25Q467,Flushing Yabc,YABC,12.2
25Q499,"The Queens College School for Math, Science and Te",K-8,8.1
25Q525,Townsend Harris High School,High School,10.4
25Q540,Queens Academy High School,Transfer High School,4.1
25Q670,Robert F. Kennedy Community High School,High School,9.3
25Q792,North Queens Community High School,Transfer High School,10.8
26Q018,P.S. 018 Winchester,Elementary,10.6
26Q026,P.S. 026 Rufus King,Elementary,7.5
26Q031,P.S. 031 Bayside,Elementary,6.8
26Q041,P.S. 041 Crocheron,Elementary,12.8
26Q046,P.S. 046 Alley Pond,Elementary,11.8
26Q067,J.H.S. 067 Louis Pasteur,Middle,7.4
26Q074,J.H.S. 074 Nathaniel Hawthorne,Middle,9.1
26Q094,P.S. 094 David D. Porter,Elementary,11.9
26Q098,P.S. 098 The Douglaston School,Elementary,7
26Q115,P.S. 115 Glen Oaks,Elementary,6.8
26Q133,P.S. 133 Queens,Elementary,9.9
26Q158,M.S. 158 Marie Curie,Middle,6
26Q159,P.S. 159,Elementary,11.6
26Q162,P.S. 162 John Golden,Elementary,9.8
26Q172,Irwin Altman Middle School 172,Middle,4.3
26Q173,P.S. 173 Fresh Meadows,Elementary,8.5
26Q178,P.S./ IS 178 Holliswood,K-8,7.9
26Q186,P.S. 186 Castlewood,Elementary,11.1
26Q188,P.S. 188 Kingsbury,Elementary,9.6
26Q191,P.S. 191 Mayflower,Elementary,13.2
26Q203,P.S. 203 Oakland Gardens,Elementary,11.2
26Q205,P.S. 205 Alexander Graham Bell,Elementary,9.1
26Q213,P.S. 213 The Carl Ullman School,Elementary,10.6
26Q216,J.H.S. 216 George J. Ryan,Middle,3.6
26Q221,P.S. 221 The North Hills School,Elementary,12.4
26Q266,P.S. / I.S. 266,K-8,8
26Q415,Benjamin N. Cardozo High School,High School,7
26Q430,Francis Lewis High School,High School,12.3
26Q435,Martin Van Buren High School,High School,2.3
26Q495,Bayside High School,High School,7
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",High School,7.7
27Q042,P.S. 042 R. Vernam,K-8,0
27Q043,P.S. 043,K-8,4.4
27Q045,P.S. 045 Clarence Witherspoon,Elementary,4
27Q047,P.S. 047 Chris Galas,K-8,10.9
27Q053,M.S. 053 Brian Piccolo,Middle,1
27Q056,P.S. 056 Harry Eichler,Elementary,7.7
27Q060,P.S. 060 Woodhaven,Elementary,4.7
27Q062,P.S. 062 Chester Park,Elementary,6.7
27Q063,P.S. 063 Old South,Elementary,9.4
27Q064,P.S. 064 Joseph P. Addabbo,Elementary,10.7
27Q065,P.S. 65 - The Raymond York Elementary School,Elementary,8.7
27Q066,P.S. 066 Jacqueline Kennedy Onassis,Elementary,10.6
27Q090,P.S. 090 Horace Mann,Elementary,7.3
27Q096,P.S. 096,Elementary,7.2
27Q097,P.S. 097 Forest Park,Elementary,7.3
27Q100,P.S. 100 Glen Morris,Elementary,5.5
27Q104,P.S. 104 The Bays Water,Elementary,10
27Q105,P.S. 105 The Bay School,K-8,6.8
27Q106,P.S. 106,Elementary,4.1
27Q108,P.S. 108 Captain Vincent G. Fowler,Elementary,10.2
27Q114,P.S. / M.S. 114 Belle Harbor,K-8,8.1
27Q123,P.S. 123,Elementary,5.4
27Q124,P.S. 124 Osmond A Church,K-8,11
27Q137,M.S. 137 America's School of Heroes,Middle,3.6
27Q146,P.S. 146 Howard Beach,K-8,7.2
27Q155,P.S. 155,Elementary,7.5
27Q183,P.S. 183 Dr. Richard R. Green,K-8,10.8
27Q197,P.S. 197 The Ocean School,Elementary,4.4
27Q202,J.H.S. 202 Robert H. Goddard,Middle,6
27Q207,P.S. 207 Rockwood Park,K-8,6.9
27Q210,J.H.S. 210 Elizabeth Blackwell,Middle,4.1
27Q215,P.S. 215 Lucretia Mott,Elementary,3.7
27Q223,P.S. 223 Lyndon B. Johnson,Elementary,5.8
27Q225,P.S. 225 Seaside,Middle,
27Q226,J.H.S. 226 Virgil I. Grissom,Middle,6.3
27Q232,P.S. 232 Lindenwood,K-8,8.8
27Q253,P.S. 253,Elementary,9.9
27Q254,P.S. 254,Elementary,12.3
27Q260,Frederick Douglass Academy VI High School,High School,5.1
27Q262,Channel View School for Research,Middle,10
27Q262,Channel View School for Research,High School,11.6
27Q282,Knowledge and Power Preparatory Academy VI,Middle,9.4
27Q302,"Queens High School for Information, Research, and Technology",High School,
27Q306,New York City Academy for Discovery,K-3,11.6
27Q308,Robert H. Goddard High School of Communication Arts and Technology,High School,
27Q309,Academy of Medical Technology: A College Board Sch,Middle,7.5
27Q309,Academy of Medical Technology: A College Board School,High School,
27Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,Elementary,11.1
27Q318,WATERSIDE SCHOOL FOR LEADERSHIP,Middle,10.3
27Q319,VILLAGE ACADEMY,Middle,14.4
27Q323,Scholars' Academy,Middle,10.2
27Q323,Scholars' Academy,High School,11.4
27Q324,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY,High School,
27Q333,Goldie Maple Academy,K-8,14.7
27Q400,August Martin High School,High School,3.1
27Q410,Beach Channel High School,High School,
27Q475,Richmond Hill High School,High School,5.7
27Q480,John Adams High School,High School,6.6
27Q487,John Adams Yabc,YABC,14.2
27Q650,"High School for Construction Trades, Engineering and Architecture",High School,7.5
28Q008,J.H.S. 008 Richard S. Grossley,Middle,4.3
28Q030,P.S. 030 Queens,Elementary,
28Q040,P.S. 040 Samuel Huntington,Elementary,8.5
28Q048,P.S. 048 William Wordsworth,Elementary,5.6
28Q050,P.S. 050 Talfourd Lawn Elementary School,Elementary,4.2
28Q054,P.S. 054 Hillside,Elementary,5.2
28Q055,P.S. 055 Maure,Elementary,4.6
28Q072,Catherine & Count Basie Middle School 72,Middle,6.5
28Q080,P.S. 080 Thurgood Marshall Magnet,Elementary,8.4
28Q082,P.S. 082 Hammond,Elementary,7.1
28Q086,P.S. Q086,Elementary,4.3
28Q099,P.S. 099 Kew Gardens,Elementary,7.3
28Q101,P.S. 101 School in the Gardens,Elementary,7
28Q117,P.S. 117 J. Keld / Briarwood School,Elementary,4.8
28Q121,P.S. 121 Queens,Elementary,7.7
28Q139,P.S. 139 Rego Park,Elementary,5.6
28Q140,P.S. 140 Edward K Ellington,Elementary,4.6
28Q144,P.S. 144 Col Jeromus Remsen,Elementary,7.3
28Q157,J.H.S. 157 Stephen A. Halsey,Middle,8.5
28Q157,J.H.S. 157 Stephen A. Halsey,High School,
28Q160,P.S. 160 Walter Francis Bishop,Elementary,3.7
28Q161,P.S. 161 Arthur Ashe School,Elementary,10.6
28Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,Middle,
28Q174,P.S. 174 William Sidney Mount,Elementary,5.2
28Q175,P.S. 175 The Lynn Gross Discovery School,Elementary,6.6
28Q182,P.S. 182 Samantha Smith,K-2,6.8
28Q190,J.H.S. 190 Russell Sage,Middle,4.2
28Q196,P.S. 196 Grand Central Parkway,Elementary,10.2
28Q206,P.S. 206 The Horace Harding School,Elementary,2.8
28Q217,J.H.S. 217 Robert A. Van Wyck,Middle,5.6
28Q220,P.S. 220 Edward Mandel,Elementary,5.6
28Q284,York Early College Academy,Middle,7.8
28Q310,Queens Collegiate: A College Board School,Middle,8.3
28Q310,Queens Collegiate: A College Board School,High School,
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,High School,
28Q328,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,High School,
28Q338,Queens Satellite High School for Opportunity,Transfer High School,
28Q440,Forest Hills High School,High School,8.2
28Q470,Jamaica High School,High School,
28Q505,Hillcrest High School,High School,11.9
28Q620,Thomas A. Edison Career and Technical Education High School,High School,9.5
28Q680,Queens Gateway to Health Sciences Secondary School,Middle,7.5
28Q680,Queens Gateway to Health Sciences Secondary School,High School,8.3
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,High School,
28Q687,Queens High School for the Sciences at York College,High School,9.3
28Q690,High School for Law Enforcement and Public Safety,High School,9.8
28Q896,"Young Women's Leadership School, Queens",Middle,5.2
28Q896,"Young Women's Leadership School, Queens",High School,6.7
29Q015,P.S. 015 Jackie Robinson,Elementary,7.4
29Q033,P.S. 033 Edward M. Funk,Elementary,9.6
29Q034,P.S. 034 John Harvard,Elementary,6.6
29Q035,P.S. 035 Nathaniel Woodhull,Elementary,1.4
29Q036,P.S. 036 Saint Albans School,Elementary,4.9
29Q037,Cynthia Jenkins School,Elementary,5.5
29Q038,P.S. 038 Rosedale,Elementary,13.1
29Q052,P.S. 052 Queens,Elementary,6.3
29Q059,I.S. 059 Springfield Gardens,Middle,1.9
29Q095,P.S. 095 Eastwood,Elementary,6.9
29Q109,Jean Nuzzi Intermediate School,Middle,3.9
29Q116,PS/IS 116 William C. Hughley,K-8,5.7
29Q118,P.S. 118 Lorraine Hansberry,Elementary,1.6
29Q131,P.S. 131 Abigail Adams,Elementary,10
29Q132,P.S. 132 Ralph Bunche,Elementary,6.1
29Q134,P.S. 134 Hollis,Elementary,7.7
29Q135,The Bellaire School,Elementary,6.6
29Q136,P.S. 136 Roy Wilkins,Elementary,3.5
29Q138,P.S. 138 Sunrise,K-8,3.8
29Q147,PS/MS 147 Ronald McNair,K-8,6.5
29Q156,P.S. 156 Laurelton,K-8,3.7
29Q176,P.S. 176 Cambria Heights,Elementary,10.9
29Q181,P.S. 181 Brookfield,Elementary,4.9
29Q192,I.S. 192 The Linden,Middle,11.3
29Q195,P.S. 195 William Haberle,Elementary,8.2
29Q208,P.S. / I.S. 208,K-8,10.5
29Q231,I.S. 231 Magnetech 2000,Middle,
29Q238,I.S. 238 Susan B Anthony,Middle,6.6
29Q248,Queens Preparatory Academy,High School,7.2
29Q251,P.S. 251 Queens,K-3,6.8
29Q259,Pathways College Preparatory School: A College Boa,Middle,4.8
29Q259,Pathways College Preparatory School: A College Board School,High School,6.2
29Q265,Excelsior Preparatory High School,High School,8
29Q268,PS/IS 268,K-8,4
29Q270,The Gordon Parks School,K-8,10.4
29Q272,George Washington Carver High School for the Sciences,High School,8.4
29Q283,Preparatory Academy for Writers: A College Board S,Middle,11.8
29Q283,Preparatory Academy for Writers: A College Board School,High School,8.9
29Q295,P.S./I.S. 295,K-8,8
29Q326,CAMBRIA HEIGHTS ACADEMY,High School,
29Q327,EAGLE ACADEMY FOR YOUNG MEN III,Middle,
29Q492,"Mathematics, Science Research and Technology Magnet High School",High School,6.2
29Q494,"Law, Government and Community Service High School",High School,7.8
29Q496,"Business, Computer Applications & Entrepreneurship High School",High School,10.8
29Q498,Humanities & Arts Magnet High School,High School,7.4
30Q002,P.S. 002 Alfred Zimberg,Elementary,7.5
30Q010,I.S. 010 Horace Greeley,Middle,8.7
30Q011,P.S. 011 Kathryn Phelan,Elementary,10.4
30Q017,P.S. 017 Henry David Thoreau,Elementary,5.9
30Q069,P.S. 069 Jackson Heights,Elementary,8.5
30Q070,P.S. 070 Queens,Elementary,5.6
30Q076,P.S. 076 William Hallet,Elementary,5.2
30Q078,P.S. 078,Elementary,11.4
30Q084,P.S. 084 Steinway,K-8,7.9
30Q085,P.S. 085 Judge Charles Vallone,Elementary,8
30Q092,P.S. 092 Harry T. Stewart Sr.,Elementary,11.1
30Q111,P.S. 111 Jacob Blackwell,K-8,7.3
30Q112,P.S. 112 Dutch Kills,Elementary,6.3
30Q122,P.S. 122 Mamie Fay,K-8,6.7
30Q126,Albert Shanker School for Visual and Performing Ar,Middle,6.8
30Q127,P.S. 127 Aerospace Science Magne,K-8,4.6
30Q141,I.S. 141 The Steinway,Middle,9.6
30Q145,I.S. 145 Joseph Pulitzer,Middle,9.8
30Q148,P.S. 148 Queens,Elementary,7.3
30Q149,P.S. 149 Christa Mcauliffe,Elementary,11
30Q150,P.S. 150 Queens,Elementary,6.7
30Q151,P.S. 151 Mary D. Carter,Elementary,1.7
30Q152,Q152 - P.S. 152 Gwendoline N. Alleyne School,Elementary,10.6
30Q166,P.S. 166 Henry Gradstein,Elementary,7.7
30Q171,P.S. 171 Peter G. Van Alst,Elementary,7
30Q204,I.S. 204 Oliver W. Holmes,Middle,6.6
30Q212,P.S. 212,Elementary,9.3
30Q222,P.S. Q222 - Fire Fighter Christopher A. Santora Sc,K-2,7.6
30Q227,I.S. 227 Louis Armstrong,Middle,8.5
30Q228,P.S. 228 Early Childhood Magnet School of the Arts,K-2,13.9
30Q230,I.S. 230,Middle,8.1
30Q234,P.S. 234,Elementary,10.3
30Q235,Academy for New Americans,Middle,13.8
30Q286,"Young Women's Leadership School, Astoria",Middle,10.4
30Q286,"Young Women's Leadership School, Astoria",High School,
30Q301,Academy for Careers in Television and Film,High School,
30Q445,William Cullen Bryant High School,High School,9
30Q450,Long Island City High School,High School,4.6
30Q501,Frank Sinatra School of the Arts High School,High School,5.9
30Q502,Information Technology High School,High School,9.2
30Q555,Newcomers High School,High School,11.5
30Q575,Academy of American Studies,High School,8.1
30Q580,Baccalaureate School for Global Education,Middle,8.8
30Q580,Baccalaureate School for Global Education,High School,9.2
31R001,P.S. 001 Tottenville,Elementary,8.4
31R002,I.S. R002 George L. Egbert,Middle,5.1
31R003,P.S. 003 The Margaret Gioiosa School,Elementary,3.7
31R004,P.S. 004 Maurice Wollin,Elementary,4.1
31R005,P.S. 005 Huguenot,Elementary,11.8
31R006,P.S. 6 Corporal Allan F. Kivlehan School,Elementary,6.6
31R007,I.S. 007 Elias Bernstein,Middle,6.5
31R008,P.S. 8 Shirlee Solomon,Elementary,11
31R011,P.S. 11 Thomas Dongan School,Elementary,7.3
31R013,P.S. 013 M. L. Lindemeyer,Elementary,6.2
31R014,P.S. 014 Cornelius Vanderbilt,Elementary,4.6
31R016,P.S. 016 John J. Driscoll,Elementary,3.6
31R018,P.S. 018 John G. Whittier,Elementary,4.7
31R019,P.S. 019 The Curtis School,Elementary,8.2
31R020,P.S. 020 Port Richmond,Elementary,11.5
31R021,P.S. 21 Margaret Emery-Elm Park,Elementary,9.9
31R022,P.S. 022 Graniteville,Elementary,4
31R023,P.S. 023 Richmondtown,Elementary,8.4
31R024,I.S. 024 Myra S. Barnes,Middle,5.3
31R026,P.S. 026 The Carteret School,Elementary,7.5
31R027,I.S. 027 Anning S. Prall,Middle,6.3
31R029,P.S. 029 Bardwell,Elementary,12
31R030,P.S. 030 Westerleigh,Elementary,3.8
31R031,P.S. 031 William T. Davis,Elementary,7.8
31R032,P.S. 032 The Gifford School,Elementary,4
31R034,I.S. 034 Tottenville,Middle,9.9
31R035,P.S. 35 The Clove Valley School,Elementary,6.7
31R036,P.S. 036 J. C. Drumgoole,Elementary,2.1
31R038,P.S. 038 George Cromwell,Elementary,6.2
31R039,P.S. 39 Francis J. Murphy Jr.,Elementary,7.4
31R041,P.S. 041 New Dorp,Elementary,3.4
31R042,P.S. 042 Eltingville,Elementary,9.1
31R044,P.S. 044 Thomas C. Brown,Elementary,5.4
31R045,P.S. 045 John Tyler,Elementary,5.7
31R046,P.S. 046 Albert V. Maniscalco,Elementary,9.5
31R047,CSI High School for International Studies,High School,9.6
31R048,P.S. 048 William C. Wilcox,Elementary,9.9
31R049,I.S. 49 Berta A. Dreyfus,Middle,5.1
31R050,P.S. 050 Frank Hankinson,Elementary,6.1
31R051,I.S. 051 Edwin Markham,Middle,6.1
31R052,P.S. 052 John C. Thompson,Elementary,5.6
31R053,P.S. 053 Bay Terrace,Elementary,10.3
31R054,P.S. 054 Charles W. Leng,Elementary,5.9
31R055,P.S. 055 Henry M. Boehm,Elementary,6.2
31R056,P.S. 56 The Louis Desario School,Elementary,3.7
31R057,P.S. 057 Hubert H. Humphrey,Elementary,3.3
31R058,Space Shuttle Columbia School,Elementary,7.9
31R060,P.S. 060 Alice Austen,Elementary,7.4
31R061,I.S. 061 William A Morris,Middle,5
31R063,Marsh Avenue School for Expeditionary Learning,Middle,12.7
31R064,Gaynor McCown Expeditionary Learning School,High School,
31R065,P.S. 65 The Academy of Innovative Learning,K-3,12.4
31R069,P.S. 069 Daniel D. Tompkins,Elementary,10.1
31R072,I.S. 072 Rocco Laurie,Middle,5.8
31R075,I.S. 075 Frank D. Paulo,Middle,8
31R080,The Michael J. Petrides School,K-8,5
31R080,The Michael J. Petrides School,High School,9.1
31R440,New Dorp High School,High School,10.3
31R445,Port Richmond High School,High School,7.4
31R450,Curtis High School,High School,8.3
31R455,Tottenville High School,High School,9
31R460,Susan E. Wagner High School,High School,10
31R470,Concord High School,Transfer High School,12.1
31R600,Ralph R. McKee Career and Technical Education High School,High School,8.3
31R605,Staten Island Technical High School,High School,12.3
31R607,Staten Island Yabc,YABC,10.5
31R861,Staten Island School of Civic Leadership,Middle,12.8
32K045,P.S. 045 Horace E. Greene,Elementary,8.6
32K075,P.S. 075 Mayda Cortiella,Elementary,7.5
32K086,P.S. 086 The Irvington,Elementary,11.7
32K106,P.S. 106 Edward Everett Hale,Elementary,7
32K116,P.S. 116 Elizabeth L Farrell,Elementary,7.8
32K123,P.S. 123 Suydam,Elementary,9.3
32K145,P.S. 145 Andrew Jackson,Elementary,7.5
32K151,P.S. 151 Lyndon B. Johnson,Elementary,6.1
32K162,J.H.S. 162 The Willoughby,Middle,4.3
32K274,P.S. 274 Kosciusko,Elementary,7.6
32K291,J.H.S. 291 Roland Hayes,Middle,2.3
32K296,J.H.S. 296 The Halsey School,Middle,1.4
32K299,P.S. 299 Thomas Warren Field,Elementary,5.1
32K347,I.S. 347 School of Humanities,Middle,7
32K349,"I.S. 349 Math, Science & Tech.",Middle,5.6
32K376,P.S. 376,Elementary,12.4
32K377,P.S. 377 Alejandrina B. De Gautier,K-8,1.8
32K383,J.H.S. 383 Philippa Schuyler,Middle,3.8
32K384,P.S. /I.S. 384 Frances E. Carter,K-8,12.3
32K403,Academy for Environmental Leadership,High School,7.7
32K545,EBC High School for Public Service - Bushwick,High School,2.4
32K549,Bushwick School for Social Justice,High School,9.5
32K552,Academy of Urban Planning,High School,7.7
32K554,All City Leadership Secondary School,Middle,12.6
32K554,All City Leadership Secondary School,High School,13.5
32K556,Bushwick Leaders High School for Academic Excellence,High School,9.6
32K564,Bushwick Community High School,Transfer High School,9.9
75K036,P.S. 36,Middle,10.9
75K053,P.S. K053,Middle,14.8
75K140,P.S. K140,K-8,2.3
75K141,P.S. K141,Middle,2.4
75K231,P.S. K231,Elementary,10.4
75K368,P.S. 368,Middle,4.8
75K369,P.S. K369 - Coy L. Cox School,K-8,10.2
75K372,P.S. 372 -The Children's School,Elementary,14
75K771,P.S. K771,K-8,12.2
75M094,P.S. M094,Elementary,11.3
75M169,P.S. M169 - Robert F. Kennedy,Middle,6
75M811,P.S. M811 - Mickey Mantle School,Elementary,9.4
75Q004,P.S. Q004,Elementary,12
75Q009,P.S. 009,K-8,8.9
75Q023,P.S. Q023 @ Queens Children Center,K-8,9.1
75Q075,Robert E. Peary School,K-8,10
75Q224,P.S. Q224,Elementary,10.7
75Q256,P.S. Q256,Middle,10.7
